PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|COUNTY|STATE|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET|NO_BATHS
RN|72112737|BB954486|NB5359|ACT|6600|4|Emerson Place|2|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished penthouse unit with breathtaking river and city views.  Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters.  The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area.   Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|5|1/26/2017 4:50:00 PM|440871|Suffolk|MA|D|5|2|2|0|Y|1|0|1100|2f;0h
RN|72117587|TM311911|NB4583|ACT|2800|9|Bronsdon St.|7B-D|1|011|02135||BROKER FEE PAID BY LANDLORD -- MODERN RENOVATION! Townhome style rental with private outdoor space in a smoke-free, pet-friendly community. Recent updates include stainless steel appliances, quartz countertops, new kitchen cabinets and a sleek bathroom. This professionally managed apartment home five miles to Downtown, air conditioning, and includes all utilities. The bedrooms are equally spacious. The eat in kitchen offers gas cooking and the manicured courtyard features two grilling stations. Convenient to I-90, Storrow Drive, Boston University, Harvard University and the #86 bus route. Parking is available on site. Sorry, no Sunday showings available. Undergraduate students welcome.  Currently offering TWO WEEKS FREE on leases beginning by Jan 14, 2018!|9|11/14/2017 11:41:00 AM|-1602228304|Suffolk|MA|D|5|3|1|0|U|1|999999|950|1f;0h
RN|72119734|BB954486|NB5359|ACT|5600|10|Emerson Place|2|1|109|02114||Available Now! Perfect for corporate short term accommodations and extended hospital treatment. We're located across from Mass General Hospital and the Charles River esplanade in Charles River Park. Monthly rent for this apartment varies depending on availability & duration of stay. The building features fitness club, club house, 24 hours concierge, 24 security,  Rent includes all utilities, cable and wireless internet.|3|2/16/2017 12:27:00 PM|4510188|Suffolk|MA|D|4|2|2|0|Y|1|0|1150|2f;0h
RN|72119746|BB954486|NB5359|ACT|7000|175|Blossom Street|2|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|8|2/16/2017 12:43:00 PM|4510188|Suffolk|MA|D|5|2|2|0|Y|1|0|1260|2f;0h
RN|72119795|BB954486|NB5359|ACT|3900|10|Emerson Place|24|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in building and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|5|2/16/2017 1:55:00 PM|1622987236|Suffolk|MA|D|4|1|1|0|Y|1|99999999|950|1f;0h
RN|72119796|BB954486|NB5359|ACT|5000|175|Blossom Street|1|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|4|2/16/2017 1:57:00 PM|1622987236|Suffolk|MA|D|4|1|1|0|Y|1|999999|850|1f;0h
RN|72122402|NB900455|NB9117|ACT|1900|1714|Commonwealth Ave.|1|1|011|02135||Modern-style garden apartment with a private outdoor patio. This clean & renovated garden apartment is a true gem. Includes a private patio. New carpeting. New stove. Heat & Hot Water included. Great location right on the T and near shops. This is a must-see!|17|10/26/2017 3:01:00 PM|-2067336998|Suffolk|MA|C|4|2|1|0|N|0|9999|721|1f;0h
RN|72136668|TM308356|NB1840|ACT|3200|38-42|Hyde Park Ave.|3|1|007|02130||FREE RENT FOR JANUARY 2018. BE THE FIRST ONE TO LIVE IN THIS BRAND NEW CONSTRUCTION UNIT. Beautiful 3 bedroom, 2 bath unit on the second floor in a multi-unit building located less than 5 minutes from Forest Hill, orange line train station. Unit features a living room and modern kitchen with granite countertops and stainless steel appliances. Hardwood floors throughout. Private washer/dryer in the unit. Central A/C. Garage parking available for $185/month. Easy access to the orange line train station. Very convenient to Northeastern University, Wentworth University and Downtown Crossing. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable. ****Sample pictures used of our sample finishes. Not an actual picture of a unit****|6|11/21/2017 10:36:00 AM|8|Suffolk|MA|D|5|3|2|0||0|9999|1000|2f;0h
RN|72136684|TM308356|NB1840|ACT|3200|38-42|Hyde Park Ave.|4|1|007|02130||FREE RENT FOR JANUARY 2018. BE THE FIRST ONE TO LIVE IN THIS BRAND NEW CONSTRUCTION UNIT. Beautiful 3 bedroom, 2 bath unit on the top floor in a multi-unit building located less than 5 minutes from Forest Hill, orange line train station. Unit features a living room and modern kitchen with granite countertops and stainless steel appliances. Hardwood floors throughout. Private washer/dryer in the unit. Central A/C. Garage parking available for $185/month. Easy access to the orange line train station. Very convenient to Northeastern University, Wentworth University and Downtown Crossing. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable. ****Sample pictures used of our sample finishes. Not an actual picture of a unit****|6|11/21/2017 10:34:00 AM|6|Suffolk|MA|D|5|3|2|0||0|9999|1000|2f;0h
RN|72143316|CT005919|AN3631|ACT|4500|252|Newbury St|3/4|1|101|02115||Heart of Back Bay in the middle of Newbury Street. Unique layout you have to see to fully understand!  Located on Newbury street near great coffee shops, restaurants, and stores. Just two blocks to the T, Hynes convention center and public transportation. Two blocks from Copley square and the Hancock Building. This rental is available NOVEMBER 1st for a period or 1-5 months. Short term furnished. The apartment is accessed by two doors, two rooms separated by a main common hallway. Good for a tenant needing one room and using the other room as an office. We can remove a few pieces of furniture if needed. TV's included, cable/wifi not included but can choose to leave active and add to lease payment.|18|4/24/2017 11:53:00 AM|268749830|Suffolk|MA|D|2|2|1|0|N|0|99999|1000|1f;0h
RN|72143660|TM308356|NB1840|ACT|2400|25|Bragdon St.|1|1|004|02119||FREE RENT FOR DECEMBER!!! Beautiful, newly rehabbed 3 bedroom, 1 bath unit on the first floor in a multi-family house located near Stony Brook orange line train station in Roxbury. Unit features a living room and modern kitchen with granite countertops and stainless steel appliances. Central A/C.  Outdoor deck. There is no laundry on-site. The laundromat is within 3 minutes walking distance. On-street parking with a residential permit. Easy access to the orange line train station, bus lines, restaurants, shops and stores. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable.  Lease until 8/31/18 only.|12|10/4/2017 3:29:00 PM|-1958569747|Suffolk|MA|D|5|3|1|0||0|9999|850|1f;0h
RN|72143664|TM308356|NB1840|ACT|2600|25|Bragdon St.|2|1|004|02119||FREE RENT FOR DECEMBER!!! Beautiful, newly rehabbed 4 bedroom, 1 bath duplex on the second and third floor in a multi-family house located near Stony Brook orange line train station in Roxbury. Unit features a living room and modern kitchen with granite countertops and stainless steel appliances. Central A/C. There is no laundry on site. The laundromat is within 3 minute walking distance. Outdoor deck. On-street parking with a residential permit. Easy access to the orange line train station, bus lines, restaurants, shops and stores. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable.Lease until 8/31/18 only.|14|10/4/2017 3:32:00 PM|-1421698829|Suffolk|MA|D|6|4|1|0||0|9999|1100|1f;0h
RN|72145513|A8001007|AN0953|ACT|12000|2|Commonwealth Avenue|10E|1|101|02116||1 bedroom/3 bath unit at The Carlton House, attached to the Taj Hotel. The concierge and doorman building sits on Boston’s Public Garden and just steps from the 			restaurants and shops of Newbury Street. Includes large, renovated kitchen equipped with stainless appliances, dark granite counter-tops, custom white cabinetry and adjoining pantry. Expansive Living room is fit for any occasion with floor-to-ceiling windows overlooking both the Garden and the Charles River. A Butler’s wet bar is perfect for entertaining or everyday use. Spacious Dining room opens to the Living room and can accommodate similarly large parties. The Master Suite has been fit with hardwood flooring throughout, including in the two walk-in closets. Finally, a quiet and comfortable den with pocket doors is an ideal retreat and can easily be converted into an office or 2nd bedroom. Tenants will also enjoy valet parking, 24/7 concierge and Taj Hotel Room Service. Can be rented Furnished or Unfurnished.|11|4/13/2017 2:49:00 PM|6140|Suffolk|MA|C|7|1|3|0|Y|1|18603|2275|3f;0h
RN|72147315|BB801416|BB2054|ACT|7000|20|Rowes Wharf|TH-05|1|106|02110||Rowes Wharf, one of Boston's premier waterfront properties, offers unparalleled service and amenities.  Rarely available, Townhouse 5 is on the north side with beautiful water views, and a private balcony off the master bedroom suite. This spacious home boasts a large living room with hardwood floors, separate dining room, and 1 Garage (Tandem) Parking space.   24 Hr. Concierge and Doorman.  Access to the Boston Harbor Hotel services, gym & spa.|7|6/5/2017 9:17:00 AM|0|Suffolk|MA|C|6|3|2|1|Y|1|999|1715|2f;1h
RN|72151510|CN203898|M95383|ACT|2500|12|Lagrange St.|2|1|009|02132||Bellevue Hill area, Spacious and sunny 3 bedroom apartment with elegant old world charm, Tree top views from multiple windows, Well maintained, Large living room, Formal dining room with built in china cabinet, Eat in kitchen, Butler's pantry, Modern bathroom, Beautiful wood trim throughout, Master bedroom with sitting room, 3 season porch off of kitchen, Hardwood floors throughout, All new windows, washer/dryer in unit, Bus stop across the street, Convenient to shops, restaurants, supermarket and the commuter rail station|15|4/23/2017 10:09:00 PM|32830|Suffolk|MA|D|7|3|1|0||0|99999|1551|1f;0h
RN|72153578|CT005919|AN3631|ACT|2700|384|Commonwealth Ave|52|1|101|02215||Furnished winter rental. Available November thru February, dates flexible, 1-4 month rental. Heart of Back Bay, beautiful one bedroom apartment. Included all furnishing shown except linens. TV and WIFI already installed.|9|4/26/2017 6:58:00 PM|2108829205|Suffolk|MA|D|2|1|1|0|N|0|999999|650|1f;0h
RN|72153671|CT005919|AN3631|ACT|4500|15|Garden St|5|1|102|02114||Unbeatable location of Beacon Hill, no steep hill walking necessary! A few doors down from Starbucks on Cambridge street and a short walk to Red Line T and MGH, Wholefoods and more.  Each bedroom has a closet and a queen bed. The living room is tastefully designed and decorated with a convertible queen sleeping couch! Bar stools for eating on the granite bar in the kitchen! SHORT TERM, FURNISHED rental, Nov 1, 1-4 months flexible|20|4/26/2017 9:32:00 PM|2108828692|Suffolk|MA|D|3|2|1|0||0|9999|1000|1f;0h
RN|72170935|G8000785|AN2495|ACT|3728|10|New Street|1606|1||02128||NEW SUMMER SPECIAL PRICING! The Eddy.....Two bedroom...Waterfront property with uninterrupted views of the Boston Harbor and city skyline. Access to a new waterfront park and boat landing, as well as direct access to Lo Presti Park. Well-served by transit through the blue line, an expanded water taxi station, highways and Logan Airport. Lounge with a chef’s kitchen, music room and private conference rooms. Outdoor terrace with a pool and sun deck, grilling stations, a fireplace and expansive views of the Boston Harbor and city Rooftop deck with seating and 270° views. On-site restaurant with indoor and outdoor dining spaces and poolside service for residents  Modern fitness facilities with Boston Harbor and skyline views. Pet-friendly, with a dog wash  Secure bike parking and bike maintenance facilities. Car sharing options.  PARKING SPECIAL with LEASE SIGNING $99/mth. Photos not of actual unit and used to illustrate unit finishes.|8|5/25/2017 5:24:00 PM|-1875111716|Suffolk|MA|D|5|2|1|0||1|829|829|1f;0h
RN|72177126|G8000785|AN2495|ACT|2888|10|New Street|1502|1||02128||NEW SUMMER SPECIAL PRICING! THE EDDY.ONE BEDROOM PLUS unit...Waterfront property with uninterrupted views of the Boston Harbor and city skyline. Access to a new waterfront park and boat landing, as well as direct access to Lo Presti Park. Well-served by transit through the blue line, an expanded water taxi station, highways and Logan Airport. Lounge with a chef’s kitchen, music room and private conference rooms. Outdoor terrace with a pool and sun deck, grilling stations, a fireplace and expansive views of the Boston Harbor and city Rooftop deck with seating and 270° views. On-site restaurant with indoor and outdoor dining spaces and poolside service for residents Modern fitness facilities with Boston Harbor and skyline views. Pet-friendly, with a dog wash Secure bike parking and bike maintenance facilities. Car sharing options. PARKING SPECIAL with LEASE SIGNING $99/mth. (Photos not of actual unit and used to illustrate unit finishes)..|8|6/6/2017 3:38:00 PM|-1334519197|Suffolk|MA|C|4|1|1|0||1|572|572|1f;0h
RN|72177130|G8000785|AN2495|ACT|2678|10|New Street|1211|1||02128||NEW SUMMER SPECIAL PRICING! The Eddy.....STUDIO UNIT...Waterfront property with uninterrupted views of the Boston Harbor and city skyline. Access to a new waterfront park and boat landing, as well as direct access to Lo Presti Park. Well-served by transit through the blue line, an expanded water taxi station, highways and Logan Airport. Lounge with a chef’s kitchen, music room and private conference rooms. Outdoor terrace with a pool and sun deck, grilling stations, a fireplace and expansive views of the Boston Harbor and city Rooftop deck with seating and 270° views. On-site restaurant with indoor and outdoor dining spaces and poolside service for residents  Modern fitness facilities with Boston Harbor and skyline views. Pet-friendly, with a dog wash  Secure bike parking and bike maintenance facilities. Car sharing options. PARKING SPECIAL with LEASE SIGNING $99/mth. (Photos not of actual unit and used to illustrate unit finishes.)|8|6/6/2017 3:40:00 PM|-1334519197|Suffolk|MA|D|3|1|1|0||1|479|478|1f;0h
RN|72177147|BB902948|AN2495|ACT|3400|10|New Street|1406|1|019|02128||No fee.. The Eddy. Brand new construction right on Boston's Harbor in East Boston.  Fabulous two bedroom one bath unit that boasts East Boston water and city views.  This luxurious rental building features 24  hour concierge, an outdoor terrace with a pool and sun deck, grilling station, fireplace, and outdoor seating plus roof deck..  In addition, there are fitness facilities with Boston Harbor and skyline views and  private meeting rooms.  There is an onsite restaurant with indoor and outdoor dining.  Pet friendly. Rental parking available for $150/month (currently a waiting list).  Direct access to the Blue Line, an expanded water taxi station, highways and Logan Airport. Photos are not of the actual unit.|8|6/6/2017 6:29:00 PM|1409499127|Suffolk|MA|D|4|2|1|0||1|829|829|1f;0h
RN|72178163|K8000931|BB5474|ACT|4500|40|Leamington Rd||1|04Z|02135||LOCATION! LOCATION! LOCATION! Conveniently located 1 block from Comm Ave/Green Line T. Minutes walk to Chestnut Hill Reservoir from this beautifully updated 9RM, 4 or 5BR, 3 full baths, brick single family row house located on a pretty one way side street. Beautiful maple kitchen. Formal Living Room with pockets that leads to Formal Dining Room. Tall ceilings. Gleaming hardwood floors throughout. Charming house with lots of original woodwork and architectural details. One of the bedroom offers a custom built in Murphy bed. Well proportioned rooms and flexible floor plan could be used as 4 or 5 Bedrooms. 3 full updated bathrooms. Spacious and private bluestone patio great with stone wall seating for those summer BBQ parties. 2 car parking spaces. 3 zone gas heat and 3 zone central AC. Property is fully deleaded. Close and easy access to B, C & D green lines, Boston College, Boston University, restaurants and shops. Available to move in immediately.|25|6/7/2017 7:13:00 PM|257026023|Suffolk|MA|A|9|4|3|0|N|2|3232|2017|3f;0h
RN|72179136|CT004488|AC1301|ACT|3100|220|Beacon Street|204|1|101|02116||EXTENDED STAY FURNISHED 1 BEDROOM BRAND NEW FURNISHING & DECOR FROM BOSTON INTERIORS, CRATE & BARRELL and OTHERS STYLE: CLASSIC COMFORT *Large Spacious 1 Bedroom w/ Simmons Beautyrest Full Bed w/ Linens, 2 Night Stands w/ lamps -Note there is a headboard in bedroom not shown in pictures. *1 Bathroom Large w/ Tub, Tiles & Towels *Galley Kitchen - Full Size Fridge and Stove. Microwave, Toaster Oven, Coffee Maker and All Kitchen Utensils and Kitchenware Included. *Dining Area w/ Table & Chairs *Spacious Living Room with Boston Interiors Sofa, Plantation Coffee Table & TV Console, 32" Flat Screen TV & DVD Player *Study Area with Desk, Parsons Chair and Lamp *Ample Closet & Storage Space *700 | - Square Feet *Hardwood Floors *Decorative Fireplace *Stylish Decor Through Out *High Ceilings *Spacious & Sunny|5|6/8/2017 7:15:00 PM|1048575|Suffolk|MA|D|4|1|1|0||0|700|700|1f;0h
RN|72181679|CN203672|NA9365|ACT|3500|441|Hanover Street|2|1|103|02113||Very large, sunny, and spacious 3 Bedroom on Hanover St. Hardwood floors, large eat-in kitchen, and three exposures. Washer/dryer in unit, and hot water included. This won't last!|6|6/14/2017 9:32:00 AM|16383|Suffolk|MA|D|5|3|1|0||0|99999999|1200|1f;0h
RN|72189302|BB954295|AN1012|ACT|2500|1669|commonwealth|19|1||02135||TREMENDOUS VALUE!  Garden level 4 bedroom with two baths, modern kitchen, private entrance, washer/dryer on site.  Students welcome with cosigners.  Just steps from the green line.|14|6/26/2017 10:46:00 AM|33636349|Suffolk|MA|C|6|4|2|0||0|1204|1204|2f;0h
RN|72192188|CT006341|AN2589|ACT|3600|31|Myrtle St.|4|1|102|02114||Looking for a spacious two bedroom in Beacon Hill? Look no further than this top floor duplex/penthouse unit has gorgeous hardwood floors, exposed beams, complete with an open concept kitchen with dining nook, granite countertops, modern bathrooms and full size washer dryer in unit. Large closets, extra storage in the lofted ceilings and even a sauna complete this fantastic 2 bedroom 1.5 bath on Myrtle street! Heat and hot water included, available for immediate move in. Want another perk... Free/no charge vacation apartment villa in Costa Rica available with choice of dates to tenant that leases this apartment in November!!!|19|11/3/2017 1:27:00 PM|1048575|Suffolk|MA|D|5|2|1|1||0|1311|1311|1f;1h
RN|72192380|K8000931|BB5474|ACT|4400|35|Greycliff Rd|2|1|04W|02135||For immediate occupancy,move right into this freshly painted, 2nd floor, 7RM, 5BR apartment in this handsome Tudor. Easy few minutes walk to train station and Boston College Campus (only 2 blocks) from this super handy location!  Close to restaurants, shops, Chestnut Hill Reservoir. This spacious apt. has large updated eat in kitchen, in-unit washer/dryer, good size bedrooms, outdoor patios, plenty of storage, hardwood floors throughout.|26|10/29/2017 5:33:00 PM|-813710359|Suffolk|MA|B|7|5|2|0||4|1830|1830|2f;0h
